개방자치단체코드,관리번호,인허가일자,영업상태명,폐업일자,소재지면적,소재지우편번호,도로명우편번호,사업장명,업태구분명,데이터갱신구분,건물소유구분명,공장사무직직원수,공장생산직직원수,공장판매직직원수,급수시설구분명,남성종사자수,다중이용업소여부,데이터갱신시점,도로명주소,등급구분명,보증액,본사직원수,상세영업상태명,상세영업상태코드,시설총규모,여성종사자수,영업상태코드,영업장주변구분명,월세액,위생업태명,전통업소주된음식,전통업소지정번호,전화번호,좌표정보(X),좌표정보(Y),지번주소,홈페이지,최종수정시점
5680000,5680000-101-2011-00153,2011-09-21,폐업,2013-04-10,63.96,343-822,,돼지분식식당,분식,I,,,,,상수도전용,,N,2025-12-15 16:15:28,,,,,폐업,02,63.96,,03,,,분식,,,,172870.85048145     ,378895.796560984    ,충청남도 당진시 송악읍 가학리 487-2 ,,2011-09-21 14:15:35
5680000,5680000-101-2010-00040,2010-04-02,폐업,2014-03-27,47.00,343-851,31700,팔도구이,한식,I,,,,,상수도전용,,N,2025-12-15 16:15:28,충청남도 당진시 석문면 대호만로 2279,,,,폐업,02,47,1,03,,,한식,,,,156519.343350993    ,394217.598138067    ,충청남도 당진시 석문면 교로리 901-4 ,,2011-03-22 16:13:27
5680000,5680000-101-2015-00116,2015-05-27,폐업,2017-12-06,126.90,343-823,31719,등대화로구이,한식,I,,,,,,,N,2025-12-15 16:15:28,충청남도 당진시 송악읍 안섬길 80-3,,,,폐업,02,126.9,,03,,,한식,,,0413579255,176817.460882758    ,386829.9433052      ,충청남도 당진시 송악읍 고대리 154-26 ,,2017-12-06 15:50:28
5680000,5680000-101-2025-00192,2025-11-03,영업/정상,,62.30,343-050,31778,꼬메메,한식,I,,,,,상수도전용,,N,2025-12-15 16:15:28,"충청남도 당진시 대덕1로2길 22, 1동 1층 우측 첫번째호 (수청동)",,,,영업,01,62.3,,01,,,한식,,,,168099.176776708    ,375977.355817373    ,충청남도 당진시 수청동 1086 ,,2025-11-03 16:12:11
5680000,5680000-101-1991-00010,1991-02-12,폐업,2019-05-03,59.40,343-823,31719,서울식당,일식,I,,,,,,0,N,2025-12-15 16:15:28,충청남도 당진시 송악읍 안섬포구길 32-1,,,,폐업,02,59.4,0,03,,,일식,,,0413558766,176957.045493033    ,386985.329440503    ,충청남도 당진시 송악읍 고대리 159-4 ,,2019-05-03 16:31:48
5680000,5680000-101-2022-00207,2022-08-19,영업/정상,,133.45,343-914,31754,쌍둥이네칼국수,한식,I,,,,,상수도전용,,N,2025-12-15 16:15:28,"충청남도 당진시 우강면 당진3거리길 28-8, 1층",,,,영업,01,133.45,,01,,,한식,,,,179778.909526759    ,367780.334767391    ,충청남도 당진시 우강면 송산리 767 ,,2023-08-01 17:10:39
5680000,5680000-101-2010-00082,2010-06-08,영업/정상,,111.72,343-030,31777,허리우드,한식,I,,,,,,1,N,2025-12-15 16:15:28,충청남도 당진시 청룡길 25 (대덕동),,,,영업,01,111.72,5,01,주택가주변,,한식,,,0413583352,167245.536543248    ,376084.440009068    ,충청남도 당진시 대덕동 1479 매직터치 ,,2018-06-28 15:13:32
5680000,5680000-101-2005-00196,2005-12-01,폐업,2015-01-05,30.83,343-811,31748,죽여주는열꼬치(신평점),분식,I,,,,,상수도전용,0,N,2025-12-15 16:15:28,충청남도 당진시 신평면 거산3거리길 24,,,,폐업,02,30.83,0,03,기타,,분식,,,0413631098,178029.195575717    ,375394.008351034    ,충청남도 당진시 신평면 거산리 46-10 ,,2014-02-10 10:47:23
5680000,5680000-101-2011-00189,2011-11-17,폐업,2017-11-29,107.05,343-050,31771,오븐에빠진닭,통닭(치킨),I,,,,,상수도전용,,N,2025-12-15 16:15:28,"충청남도 당진시 밤절로 132-99, 101,102호 (수청동, 나우프라자)",,,,폐업,02,107.05,,03,,,통닭(치킨),,,0413575892,168399.910738099    ,377783.411045633    ,"충청남도 당진시 수청동 988 나우프라자 101,102호",,2017-11-29 16:51:47
5680000,5680000-101-2007-00079,2007-05-10,폐업,2015-08-20,42.40,343-921,31770,스시마당,일식,I,,,,,상수도전용,0,N,2025-12-15 16:15:28,충청남도 당진시 당진중앙2로 211-15 (읍내동),,,,폐업,02,42.4,0,03,주택가주변,,일식,,,0413565905,167357.51567682     ,377375.814480936    ,충청남도 당진시 읍내동 266 ,,2012-03-29 11:19:13
